forestType_group,mean_biomassLoss (mg/ha)
Aspen-Birch,19.831667840339165
Maple-Beech-Birch,-33.15367524334964
Oak-Pine,141.54723102338323
Spruce-Fir,33.157782248127745
White-Red-Jack Pine,19.234144559145868
