forestType,mean_biomassLoss (mg/ha)
Aspen,19.304668233247966
Balsam fir,20.237292884930326
Black spruce,27.045442791020772
Eastern white pine,6.905349947464759
Jack pine,13.010506384968307
Northern white-cedar,49.395546037654526
Other pine / hardwood,141.54723102338323
Paper birch,22.509928112227698
Red maple / upland,-33.15367524334964
Red pine,10.032832101549431
